,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,tsne_clusters_id
24,27,VER,78.707,28.0,2.0,23.713,31.496,23.498,HARD,2.0,Red Bull Racing,1.0,211.77926421404683,303.0,102.0,65.40468227424749,0.4816053511705686,0.15719063545150502,22.1,30.4,91.0,2.0,20.745955,25.045448,2
25,28,VER,78.86,29.0,2.0,23.579,31.646,23.635,HARD,3.0,Red Bull Racing,1.0,211.41639344262296,303.0,101.0,65.32786885245902,0.4819672131147541,0.15081967213114755,22.1,30.5,112.0,1.6,20.642006,24.397673,2
26,29,VER,78.976,30.0,2.0,23.717,31.619,23.64,HARD,4.0,Red Bull Racing,1.0,210.81848184818483,305.0,100.0,65.26072607260726,0.48184818481848185,0.1551155115511551,22.1,30.5,53.0,3.0,36.930485,5.028275,2
27,30,VER,79.165,31.0,2.0,23.806,31.687,23.672,HARD,5.0,Red Bull Racing,1.0,210.77777777777777,305.0,99.0,65.14478114478115,0.48484848484848486,0.15824915824915825,22.1,30.5,43.0,2.0,18.71873,20.448978,2
28,31,VER,78.878,32.0,2.0,23.52,31.691,23.667,HARD,6.0,Red Bull Racing,1.0,214.2,305.0,102.0,65.29,0.49333333333333335,0.15666666666666668,22.1,30.5,88.0,2.2,21.50551,25.311144,2
29,32,VER,79.189,33.0,2.0,23.678,31.746,23.765,HARD,7.0,Red Bull Racing,1.0,209.0,305.0,99.0,63.70307167235495,0.46075085324232085,0.16040955631399317,22.1,30.5,70.0,2.2,16.91347,19.86383,2
30,33,VER,78.806,34.0,2.0,23.501,31.599,23.706,HARD,8.0,Red Bull Racing,1.0,211.81034482758622,306.0,97.0,64.80344827586207,0.4827586206896552,0.15517241379310345,22.0,30.2,60.0,1.8,23.108755,22.94058,2
31,34,VER,78.89,35.0,2.0,23.533,31.641,23.716,HARD,9.0,Red Bull Racing,1.0,210.70261437908496,307.0,96.0,65.3921568627451,0.48366013071895425,0.14705882352941177,22.1,30.2,68.0,1.7,23.40877,22.522167,2
32,35,VER,78.789,36.0,2.0,23.49,31.479,23.82,HARD,10.0,Red Bull Racing,1.0,212.6275167785235,308.0,99.0,65.75838926174497,0.47651006711409394,0.1476510067114094,22.1,30.3,69.0,2.0,22.454952,23.724728,2
33,36,VER,79.026,37.0,2.0,23.422,31.723,23.881,HARD,11.0,Red Bull Racing,1.0,209.21428571428572,309.0,96.0,64.70068027210884,0.45918367346938777,0.1598639455782313,22.1,30.4,246.0,1.2,-67.598946,6.4094276,1
34,37,VER,79.417,38.0,2.0,23.483,31.855,24.079,HARD,12.0,Red Bull Racing,1.0,210.5547703180212,311.0,94.0,65.91872791519435,0.47703180212014135,0.15547703180212014,22.1,30.1,340.0,1.2,-67.48481,7.926648,1
35,38,VER,79.322,39.0,2.0,23.636,31.688,23.998,HARD,13.0,Red Bull Racing,1.0,210.83892617449663,312.0,96.0,64.4261744966443,0.4664429530201342,0.16778523489932887,22.1,30.1,42.0,0.8,20.645788,9.947435,2
36,39,VER,79.388,40.0,2.0,23.53,31.967,23.891,HARD,14.0,Red Bull Racing,1.0,210.23778501628664,311.0,94.0,64.25732899022802,0.4755700325732899,0.16938110749185667,22.1,29.9,66.0,2.5,22.869444,2.121698,2
37,40,VER,79.53,41.0,2.0,23.603,32.057,23.87,HARD,15.0,Red Bull Racing,1.0,207.36633663366337,309.0,94.0,63.17161716171617,0.44554455445544555,0.16501650165016502,22.1,29.9,71.0,1.6,11.704885,3.233245,2
38,41,VER,79.092,42.0,2.0,23.452,31.802,23.838,HARD,16.0,Red Bull Racing,1.0,209.90697674418604,311.0,96.0,66.15946843853821,0.48172757475083056,0.14950166112956811,22.1,29.9,58.0,2.9,30.413229,3.888643,2
39,42,VER,78.912,43.0,2.0,23.399,31.699,23.814,HARD,17.0,Red Bull Racing,1.0,210.33892617449663,310.0,98.0,64.07718120805369,0.48322147651006714,0.17114093959731544,22.1,29.9,47.0,2.7,30.360443,4.982924,2
40,43,VER,78.97,44.0,2.0,23.397,31.775,23.798,HARD,18.0,Red Bull Racing,1.0,212.05067567567568,309.0,95.0,66.14864864864865,0.5135135135135135,0.14527027027027026,22.1,29.9,62.0,2.0,30.302752,8.542967,2
41,44,VER,79.104,45.0,2.0,23.437,31.771,23.896,HARD,19.0,Red Bull Racing,1.0,207.8095238095238,308.0,97.0,65.29591836734694,0.47619047619047616,0.15306122448979592,22.1,29.8,55.0,1.7,30.133509,10.087299,2
42,45,VER,78.84,46.0,2.0,23.373,31.692,23.775,HARD,20.0,Red Bull Racing,1.0,210.10097719869708,308.0,97.0,65.1042345276873,0.48859934853420195,0.16612377850162866,22.1,29.8,327.0,2.4,-73.57289,10.651269,1
43,46,VER,79.109,47.0,2.0,23.468,31.738,23.903,HARD,21.0,Red Bull Racing,1.0,211.3708609271523,309.0,96.0,64.71854304635761,0.5033112582781457,0.16556291390728478,22.0,29.1,49.0,1.2,31.772024,10.723283,2
44,47,VER,78.953,48.0,2.0,23.344,31.884,23.725,HARD,22.0,Red Bull Racing,1.0,208.60135135135135,310.0,95.0,64.70608108108108,0.5033783783783784,0.16216216216216217,22.0,29.1,113.0,2.9,29.403717,3.9047983,2
45,48,VER,79.093,49.0,2.0,23.434,31.793,23.866,HARD,23.0,Red Bull Racing,1.0,210.5017182130584,311.0,95.0,63.99312714776632,0.4742268041237113,0.16151202749140894,22.1,29.7,44.0,1.8,30.653969,9.485714,2
46,49,VER,79.221,50.0,2.0,23.587,31.739,23.895,HARD,24.0,Red Bull Racing,1.0,211.74333333333334,311.0,96.0,66.06,0.5066666666666667,0.16666666666666666,22.0,29.5,58.0,2.4,30.142107,6.5106087,2
47,50,VER,78.768,51.0,2.0,23.256,31.693,23.819,HARD,25.0,Red Bull Racing,1.0,212.2516339869281,311.0,97.0,65.94771241830065,0.5,0.1437908496732026,22.0,29.5,62.0,1.2,32.260944,11.129756,2
48,53,VER,77.473,54.0,3.0,23.447,30.874,23.152,SOFT,4.0,Red Bull Racing,1.0,213.4006968641115,306.0,104.0,65.21254355400697,0.47735191637630664,0.1602787456445993,21.9,28.4,44.0,3.0,41.34799,4.1272955,2
49,54,VER,77.766,55.0,3.0,23.357,31.159,23.25,SOFT,5.0,Red Bull Racing,1.0,211.9158249158249,308.0,101.0,64.57575757575758,0.4713804713804714,0.16161616161616163,21.9,28.4,49.0,2.5,41.96252,4.690159,2
50,55,VER,77.183,56.0,3.0,23.139,30.814,23.23,SOFT,6.0,Red Bull Racing,1.0,217.14186851211073,309.0,101.0,65.80622837370242,0.48788927335640137,0.1695501730103806,21.9,28.4,80.0,2.2,41.607555,6.2068615,2
