,Time,Status,Message
0,0 days 00:00:47.740000,1,AllClear
1,0 days 01:03:30.609000,2,Yellow
2,0 days 01:03:36.406000,1,AllClear
3,0 days 01:04:16.546000,4,SCDeployed
4,0 days 01:12:55.099000,1,AllClear
5,0 days 01:26:14.398000,2,Yellow
6,0 days 01:26:33.710000,1,AllClear
7,0 days 01:28:32.895000,6,VSCDeployed
8,0 days 01:29:34.785000,7,VSCEnding
9,0 days 01:29:49.738000,1,AllClear
10,0 days 02:37:07.447000,2,Yellow
11,0 days 02:37:32.635000,1,AllClear
