,Time,Status,Message
0,0 days 00:11:33.566000,1,AllClear
1,0 days 01:02:48.255000,2,Yellow
2,0 days 01:03:42.880000,4,SCDeployed
3,0 days 01:11:23.546000,1,AllClear
4,0 days 01:54:35.955000,2,Yellow
5,0 days 01:54:38.877000,1,AllClear
6,0 days 02:06:29.759000,2,Yellow
7,0 days 02:06:32.791000,1,AllClear
