,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
94,0 days 01:34:23.812000,18.3,61.0,966.7,False,28.7,39,2.9
95,0 days 01:35:23.811000,18.2,61.0,966.7,False,28.3,144,1.0
96,0 days 01:36:23.811000,18.1,61.0,966.7,False,28.2,144,3.0
97,0 days 01:37:23.826000,18.0,61.0,966.7,False,27.9,134,0.8
98,0 days 01:38:23.825000,17.9,62.0,966.7,False,27.8,144,1.2
99,0 days 01:39:23.855000,17.9,62.0,966.7,True,27.5,37,0.3
100,0 days 01:40:23.855000,17.7,63.0,966.7,True,27.4,117,1.0
101,0 days 01:41:23.838000,17.7,63.0,966.7,True,27.2,55,1.5
102,0 days 01:42:23.838000,17.6,63.0,966.9,True,27.2,111,1.5
103,0 days 01:43:23.931000,17.5,65.0,966.9,True,26.0,123,1.5
104,0 days 01:44:23.852000,17.4,65.0,967.0,True,25.6,179,1.7
105,0 days 01:45:23.851000,17.3,65.0,966.9,True,25.3,336,1.3
106,0 days 01:46:23.851000,17.1,66.0,967.0,True,25.1,84,1.7
107,0 days 01:47:23.850000,17.1,67.0,966.9,True,25.0,140,2.2
108,0 days 01:48:23.849000,17.0,68.0,966.9,True,25.0,128,1.7
109,0 days 01:49:23.849000,17.0,68.0,966.9,False,25.0,96,1.5
110,0 days 01:50:23.848000,16.9,69.0,966.9,False,25.0,103,1.1
111,0 days 01:51:23.863000,16.8,69.0,966.9,False,25.6,71,1.7
112,0 days 01:52:23.847000,16.9,67.0,966.9,False,25.9,107,1.0
113,0 days 01:53:23.846000,16.9,69.0,966.7,False,26.1,211,1.0
114,0 days 01:54:23.877000,17.0,69.0,966.7,False,26.9,106,0.8
115,0 days 01:55:23.860000,17.1,68.0,966.7,False,27.9,51,1.7
116,0 days 01:56:23.844000,17.3,66.0,966.7,False,27.9,78,1.6
117,0 days 01:57:23.859000,17.4,66.0,966.7,False,29.3,94,1.0
118,0 days 01:58:23.874000,17.6,66.0,966.7,False,29.5,171,1.8
119,0 days 01:59:23.858000,17.6,66.0,966.7,False,30.3,146,1.1
