,Time,Status,Message
0,0 days 00:00:00,2,Yellow
1,0 days 00:05:56.684000,1,AllClear
2,0 days 00:28:36.184000,2,Yellow
3,0 days 00:29:50.105000,1,AllClear
4,0 days 00:51:13.731000,2,Yellow
5,0 days 00:51:35.715000,1,AllClear
6,0 days 01:05:29.425000,2,Yellow
7,0 days 01:07:05.236000,1,AllClear
8,0 days 01:07:18.799000,2,Yellow
9,0 days 01:07:25.111000,1,AllClear
10,0 days 02:25:23.966000,2,Yellow
