,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
237,373,SAR,83.45,47.0,3.0,29.057,32.77,21.623,285.0,281.0,246.0,333.0,MEDIUM,13.0,Williams,16.0,182.77115987460814,333.0,63.0,49.21943573667711,0.06583072100313479,0.219435736677116,26.8,44.0,308.0,1.7,-43.254685227824346,-34.90842124903226,0
238,374,SAR,83.807,48.0,3.0,29.171,32.966,21.67,289.0,280.0,245.0,332.0,MEDIUM,14.0,Williams,16.0,183.1246105919003,331.0,63.0,49.09034267912772,0.07476635514018691,0.22429906542056074,26.9,44.0,296.0,1.6,-34.51133148273734,-25.127162781351302,0
239,376,SAR,83.495,50.0,3.0,29.107,32.734,21.654,290.0,280.0,245.0,331.0,MEDIUM,16.0,Williams,15.0,181.99059561128527,331.0,64.0,49.9153605015674,0.06269592476489028,0.21316614420062696,26.7,43.6,306.0,1.5,-43.190720054540364,-31.603034761526754,0
240,378,SAR,83.858,52.0,3.0,29.072,32.872,21.914,288.0,281.0,245.0,333.0,MEDIUM,18.0,Williams,15.0,179.990099009901,333.0,61.0,48.85808580858086,0.06930693069306931,0.23432343234323433,26.6,43.6,301.0,1.7,-37.35313637592188,-29.835007571040826,0
241,379,SAR,83.817,53.0,3.0,29.072,32.995,21.75,285.0,280.0,246.0,332.0,MEDIUM,19.0,Williams,15.0,181.23417721518987,332.0,61.0,48.20253164556962,0.06329113924050633,0.23417721518987342,26.6,43.4,257.0,1.0,-3.739515149005166,-0.19916006040203366,2
242,380,SAR,83.916,54.0,3.0,29.147,33.042,21.727,289.0,281.0,246.0,335.0,MEDIUM,20.0,Williams,15.0,179.5,335.0,62.0,47.45859872611465,0.04777070063694268,0.2356687898089172,26.5,43.2,0.0,0.0,192.13076334924085,165.49282630912873,1
243,382,SAR,84.322,56.0,3.0,28.968,33.508,21.846,287.0,289.0,246.0,337.0,MEDIUM,22.0,Williams,15.0,181.24126984126985,336.0,60.0,47.77777777777778,0.06031746031746032,0.23174603174603176,26.5,43.2,290.0,1.6,-23.9484194500351,-26.93317159809096,0
244,383,SAR,84.89,57.0,3.0,29.498,33.617,21.775,281.0,289.0,245.0,357.0,MEDIUM,23.0,Williams,15.0,181.11180124223603,356.0,58.0,49.3416149068323,0.043478260869565216,0.2360248447204969,26.7,42.3,290.0,2.0,-7.032152244472531,-48.499620294476976,0
245,384,SAR,83.534,58.0,3.0,28.625,33.271,21.638,295.0,286.0,247.0,352.0,MEDIUM,24.0,Williams,15.0,183.44582043343652,351.0,62.0,48.87925696594427,0.04024767801857585,0.23839009287925697,26.6,41.5,235.0,2.2,31.664767769978372,-8.603223562794813,2
246,387,SAR,83.822,61.0,3.0,28.96,33.084,21.778,284.0,283.0,246.0,336.0,MEDIUM,27.0,Williams,15.0,183.60509554140128,337.0,59.0,50.99363057324841,0.09235668789808917,0.22929936305732485,26.5,40.6,307.0,1.5,-40.4638835650004,-37.52768380887661,0
247,388,SAR,83.585,62.0,3.0,28.972,33.062,21.551,294.0,282.0,247.0,334.0,MEDIUM,28.0,Williams,15.0,181.19871794871796,334.0,59.0,49.958333333333336,0.09294871794871795,0.23076923076923078,26.7,40.5,292.0,1.5,-26.659739232582538,-25.59170579274282,0
248,389,SAR,84.008,63.0,3.0,29.034,33.412,21.562,289.0,282.0,247.0,336.0,MEDIUM,29.0,Williams,15.0,177.42088607594937,335.0,61.0,49.16139240506329,0.13924050632911392,0.23734177215189872,26.6,40.3,232.0,1.6,20.551318147641048,10.18267153700928,2
