,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,tsne_clusters_id
0,1,VER,86.163,2.0,1.0,28.274,29.543,28.346,MEDIUM,2.0,Red Bull Racing,2.0,239.7459807073955,327.0,66.0,72.04180064308682,0.6559485530546624,0.1607717041800643,29.2,43.1,189.0,1.0,-1.614419,-7.08626,2
1,2,VER,85.702,3.0,1.0,28.097,29.32,28.285,MEDIUM,3.0,Red Bull Racing,2.0,241.22981366459626,326.0,67.0,73.83850931677019,0.6614906832298136,0.15838509316770186,29.3,43.2,36.0,0.6,-13.990988,31.557148,1
2,3,VER,86.05,4.0,1.0,28.145,29.474,28.431,MEDIUM,4.0,Red Bull Racing,2.0,239.8435582822086,334.0,67.0,73.43865030674847,0.6595092024539877,0.15950920245398773,29.5,43.1,204.0,0.8,-3.2851944,-6.5815096,2
3,4,VER,86.176,5.0,1.0,28.155,29.514,28.507,MEDIUM,5.0,Red Bull Racing,2.0,239.84326018808778,335.0,68.0,71.10031347962382,0.6300940438871473,0.16300940438871472,29.5,43.1,250.0,1.2,-3.4374022,-5.5079904,2
4,5,VER,86.837,6.0,1.0,28.7,29.662,28.475,MEDIUM,6.0,Red Bull Racing,2.0,239.00625,347.0,45.0,73.796875,0.65625,0.159375,29.5,43.3,145.0,1.6,-5.9018517,-24.110325,2
5,6,VER,86.368,7.0,1.0,28.166,29.751,28.451,MEDIUM,7.0,Red Bull Racing,2.0,240.1818181818182,331.0,68.0,73.37575757575758,0.6696969696969697,0.16363636363636364,29.6,43.6,160.0,1.8,0.6366206,19.317932,1
6,7,VER,85.99,8.0,1.0,28.075,29.432,28.483,MEDIUM,8.0,Red Bull Racing,2.0,240.19938650306747,335.0,67.0,71.31288343558282,0.6319018404907976,0.18098159509202455,29.7,43.6,0.0,2.4,-4.166453,33.503517,1
7,8,VER,86.605,9.0,1.0,28.149,29.927,28.529,MEDIUM,9.0,Red Bull Racing,2.0,238.9311377245509,347.0,64.0,72.76047904191617,0.6437125748502994,0.15269461077844312,29.8,44.1,178.0,0.6,31.164188,24.702688,1
8,9,VER,86.603,10.0,1.0,28.315,29.78,28.508,MEDIUM,10.0,Red Bull Racing,2.0,239.3181818181818,335.0,69.0,72.64848484848486,0.6393939393939394,0.1606060606060606,29.8,43.9,168.0,2.2,1.6213473,17.715603,1
9,10,VER,86.643,11.0,1.0,28.233,29.893,28.517,MEDIUM,11.0,Red Bull Racing,2.0,240.934375,333.0,64.0,73.003125,0.646875,0.15625,29.9,43.9,181.0,1.8,2.4960427,16.010815,1
10,11,VER,86.442,12.0,1.0,28.179,29.813,28.45,MEDIUM,12.0,Red Bull Racing,2.0,238.5700636942675,335.0,64.0,70.10191082802548,0.6210191082802548,0.16560509554140126,29.9,43.3,8.0,1.7,0.24571489,35.1384,1
11,12,VER,86.666,13.0,1.0,28.254,29.907,28.505,MEDIUM,13.0,Red Bull Racing,2.0,237.3949843260188,334.0,65.0,70.60501567398119,0.6050156739811913,0.16300940438871472,29.9,43.7,199.0,1.2,0.545229,3.9098928,1
12,13,VER,87.028,14.0,1.0,28.223,30.28,28.525,MEDIUM,14.0,Red Bull Racing,2.0,236.403785488959,345.0,66.0,69.33753943217665,0.6025236593059937,0.17034700315457413,30.1,43.7,205.0,1.5,21.328066,13.786277,1
13,14,VER,86.782,15.0,1.0,28.137,30.444,28.201,MEDIUM,15.0,Red Bull Racing,1.0,237.66875,346.0,59.0,74.60625,0.65,0.153125,30.0,43.7,258.0,2.0,-11.010204,16.003412,0
14,15,VER,86.718,16.0,1.0,28.45,29.91,28.358,MEDIUM,16.0,Red Bull Racing,1.0,239.49216300940438,318.0,66.0,74.63009404388714,0.658307210031348,0.13793103448275862,30.0,43.9,178.0,1.7,-46.18551,4.3073177,0
15,16,VER,86.733,17.0,1.0,28.348,29.889,28.496,MEDIUM,17.0,Red Bull Racing,1.0,240.446875,322.0,65.0,72.5125,0.653125,0.153125,29.9,43.7,0.0,1.7,-1.9888458,39.20486,1
16,17,VER,86.273,18.0,1.0,28.247,29.668,28.358,MEDIUM,18.0,Red Bull Racing,1.0,240.3498452012384,326.0,66.0,74.45510835913312,0.6625386996904025,0.14551083591331268,29.7,43.5,216.0,1.3,-2.5961218,-1.4585174,0
17,18,VER,86.438,19.0,1.0,28.368,29.832,28.238,MEDIUM,19.0,Red Bull Racing,1.0,238.49844236760126,326.0,65.0,71.30218068535825,0.6261682242990654,0.16199376947040497,29.8,43.6,158.0,1.2,-0.35265434,-0.6564348,2
18,21,VER,85.885,22.0,2.0,28.01,29.546,28.329,HARD,2.0,Red Bull Racing,3.0,239.7515923566879,336.0,68.0,71.06050955414013,0.60828025477707,0.1592356687898089,30.0,43.7,134.0,1.7,-2.7545502,14.250974,1
19,22,VER,86.159,23.0,2.0,28.131,29.638,28.39,HARD,3.0,Red Bull Racing,2.0,240.15673981191222,331.0,69.0,71.59247648902821,0.6206896551724138,0.15047021943573669,29.9,43.7,178.0,1.3,-1.978759,13.242014,1
20,23,VER,86.327,24.0,2.0,28.187,29.358,28.782,HARD,4.0,Red Bull Racing,2.0,243.0764331210191,333.0,69.0,70.70700636942675,0.6146496815286624,0.16878980891719744,29.9,43.5,179.0,2.0,-0.40127182,16.117167,1
21,24,VER,85.914,25.0,2.0,28.052,29.542,28.32,HARD,5.0,Red Bull Racing,1.0,239.26461538461538,341.0,63.0,71.85230769230769,0.6276923076923077,0.16615384615384615,29.9,43.5,177.0,1.7,-3.964006,14.898451,1
22,25,VER,85.786,26.0,2.0,28.257,29.382,28.147,HARD,6.0,Red Bull Racing,1.0,243.656346749226,326.0,67.0,73.78328173374614,0.653250773993808,0.1393188854489164,29.9,43.4,153.0,1.7,-39.390503,0.5723184,0
23,26,VER,85.501,27.0,2.0,28.117,29.266,28.118,HARD,7.0,Red Bull Racing,1.0,241.27619047619046,328.0,66.0,72.53968253968254,0.6507936507936508,0.15555555555555556,29.9,43.4,228.0,1.0,-34.881325,-1.5543679,0
24,27,VER,85.434,28.0,2.0,28.158,29.202,28.074,HARD,8.0,Red Bull Racing,1.0,241.70219435736678,328.0,67.0,72.49529780564264,0.6269592476489029,0.14733542319749215,29.9,43.3,112.0,0.8,-36.66249,-2.0238872,0
25,28,VER,85.471,29.0,2.0,28.149,29.369,27.953,HARD,9.0,Red Bull Racing,1.0,240.814332247557,328.0,68.0,72.72312703583061,0.6319218241042345,0.14332247557003258,29.9,42.9,163.0,1.0,-35.8136,-2.3290415,0
26,29,VER,85.398,30.0,2.0,28.15,29.213,28.035,HARD,10.0,Red Bull Racing,1.0,246.640625,328.0,66.0,73.203125,0.65,0.15,29.7,42.5,317.0,0.8,-42.639374,8.136587,0
27,30,VER,85.502,31.0,2.0,28.161,29.37,27.971,HARD,11.0,Red Bull Racing,1.0,241.87577639751552,328.0,68.0,72.55900621118012,0.6304347826086957,0.14285714285714285,29.8,42.8,193.0,1.3,-34.90802,-3.0360136,0
28,31,VER,85.41,32.0,2.0,28.151,29.284,27.975,HARD,12.0,Red Bull Racing,1.0,242.0846394984326,329.0,66.0,74.29780564263324,0.6551724137931034,0.15047021943573669,29.8,42.6,136.0,1.1,-36.31062,-3.1524868,0
29,32,VER,85.24,33.0,2.0,28.057,29.201,27.982,HARD,13.0,Red Bull Racing,1.0,242.62783171521036,329.0,67.0,72.96440129449839,0.6472491909385113,0.15857605177993528,29.8,42.4,242.0,1.3,-33.93993,-2.5399957,0
30,33,VER,85.683,34.0,2.0,28.111,29.501,28.071,HARD,14.0,Red Bull Racing,1.0,240.7246835443038,330.0,67.0,71.74367088607595,0.6265822784810127,0.1518987341772152,29.8,42.5,164.0,1.5,-34.007133,-5.2734165,0
31,34,VER,85.815,35.0,2.0,28.179,29.472,28.164,HARD,15.0,Red Bull Racing,1.0,238.58513931888544,330.0,66.0,71.3467492260062,0.6222910216718266,0.15479876160990713,29.8,42.6,232.0,0.8,-8.241677,-0.48271555,0
32,35,VER,85.598,36.0,2.0,28.04,29.439,28.119,HARD,16.0,Red Bull Racing,1.0,241.7324840764331,330.0,67.0,70.93630573248407,0.6114649681528662,0.14968152866242038,29.9,42.5,196.0,1.2,-34.00868,-4.0861,0
33,36,VER,85.683,37.0,2.0,28.074,29.485,28.124,HARD,17.0,Red Bull Racing,1.0,241.3238993710692,330.0,68.0,73.27987421383648,0.6383647798742138,0.14465408805031446,30.0,42.5,208.0,1.8,-31.710579,-5.1736994,0
34,37,VER,85.585,38.0,2.0,28.067,29.469,28.049,HARD,18.0,Red Bull Racing,1.0,242.6772151898734,332.0,67.0,72.84177215189874,0.6234177215189873,0.13291139240506328,30.0,42.8,186.0,1.6,-31.3308,-4.235411,0
35,38,VER,85.486,39.0,2.0,28.053,29.353,28.08,HARD,19.0,Red Bull Racing,1.0,240.00632911392404,331.0,65.0,72.84493670886076,0.6329113924050633,0.16139240506329114,30.0,42.8,145.0,1.1,-35.83613,-5.2054677,0
36,39,VER,85.901,40.0,2.0,28.185,29.481,28.235,HARD,20.0,Red Bull Racing,1.0,243.42443729903536,331.0,66.0,71.7524115755627,0.6270096463022508,0.15112540192926044,30.0,42.8,205.0,1.7,-30.401052,-6.1124206,0
37,40,VER,85.779,41.0,2.0,28.079,29.543,28.157,HARD,21.0,Red Bull Racing,1.0,240.94670846394985,339.0,67.0,71.08463949843261,0.6144200626959248,0.15673981191222572,30.1,42.9,187.0,2.0,-30.036928,-8.516385,0
38,41,VER,85.912,42.0,2.0,28.057,29.562,28.293,HARD,22.0,Red Bull Racing,1.0,239.7629179331307,332.0,67.0,69.69604863221885,0.601823708206687,0.16109422492401215,30.2,42.9,190.0,1.8,-28.968628,-9.148995,0
39,42,VER,85.994,43.0,2.0,28.178,29.666,28.15,HARD,23.0,Red Bull Racing,1.0,241.85802469135803,332.0,67.0,70.03395061728395,0.6080246913580247,0.14814814814814814,30.2,42.5,168.0,1.6,-28.61724,-7.8782816,0
40,43,VER,85.751,44.0,2.0,28.03,29.503,28.218,HARD,24.0,Red Bull Racing,1.0,239.91346153846155,333.0,67.0,68.23076923076923,0.592948717948718,0.16025641025641027,30.1,42.5,144.0,1.6,-28.365313,-9.633804,0
41,44,VER,85.916,45.0,2.0,28.045,29.693,28.178,HARD,25.0,Red Bull Racing,1.0,243.41935483870967,333.0,66.0,71.16774193548387,0.632258064516129,0.14838709677419354,30.0,41.7,161.0,1.1,-26.025599,-11.14235,0
42,45,VER,86.185,46.0,2.0,28.067,29.921,28.197,HARD,26.0,Red Bull Racing,1.0,239.93710691823898,333.0,66.0,69.61320754716981,0.6132075471698113,0.16352201257861634,30.0,41.6,181.0,1.5,-22.395046,-13.110081,0
43,46,VER,86.137,47.0,2.0,28.058,29.565,28.514,HARD,27.0,Red Bull Racing,1.0,242.61635220125785,334.0,70.0,68.4245283018868,0.5911949685534591,0.16037735849056603,30.0,41.2,176.0,1.1,-24.99845,-12.429313,0
44,47,VER,87.235,48.0,2.0,28.459,30.06,28.716,HARD,28.0,Red Bull Racing,1.0,237.22560975609755,333.0,67.0,65.51829268292683,0.5,0.14939024390243902,30.1,41.2,161.0,1.7,-15.31489,-16.429296,0
45,48,VER,87.907,49.0,2.0,28.567,30.249,29.091,HARD,29.0,Red Bull Racing,1.0,233.98219584569733,329.0,66.0,63.17210682492582,0.5192878338278932,0.17804154302670624,30.0,41.0,179.0,1.2,-9.959636,-12.631506,0
46,49,VER,88.393,50.0,2.0,28.738,30.474,29.181,HARD,30.0,Red Bull Racing,1.0,234.96615384615384,325.0,65.0,64.0,0.5323076923076923,0.16615384615384615,30.0,40.8,152.0,1.6,-10.005609,-12.810346,0
47,50,VER,87.525,51.0,2.0,28.415,30.353,28.757,HARD,31.0,Red Bull Racing,1.0,237.3060606060606,327.0,63.0,66.63939393939394,0.5696969696969697,0.1484848484848485,30.0,40.8,161.0,1.7,-15.298319,-17.339304,0
